Institute,Academic Program Name,Seat Type,Gender,Opening Rank,Closing Rank
Indian Institute of Technology Delhi,"Production and Industrial Engineering (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),1159,1159
Indian Institute of Technology Delhi,"Textile Technology (4 Years, Bachelor of Technology)",ST,Gender-Neutral,836,991
Indian Institute of Technology Delhi,"Textile Technology (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),1386,1538
Indian Institute of Technology Indore,"Chemical Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,848,922
Indian Institute of Technology Indore,"Chemical Engineering (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),1642,1642
Indian Institute of Technology Indore,"Civil Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,566,631
Indian Institute of Technology Indore,"Civil Engineering (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),1363,1363
Indian Institute of Technology Indore,"Computer Science and Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,113,168
Indian Institute of Technology Indore,"Computer Science and Engineering (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),154,154
Indian Institute of Technology Indore,"Electrical Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,350,467
Indian Institute of Technology Indore,"Electrical Engineering (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),656,656
Indian Institute of Technology Indore,"Engineering Physics (4 Years, Bachelor of Technology)",ST,Gender-Neutral,1173,1173
Indian Institute of Technology Indore,"Mathematics and Computing (4 Years, Bachelor of Technology)",ST,Gender-Neutral,260,287
Indian Institute of Technology Indore,"Mathematics and Computing (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),563,563
Indian Institute of Technology Indore,"Mechanical Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,573,747
Indian Institute of Technology Indore,"Mechanical Engineering (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),1636,1636
Indian Institute of Technology Indore,"Metallurgical Engineering and Materials Science (4 Years, Bachelor of Technology)",ST,Gender-Neutral,1175,1225
Indian Institute of Technology Indore,"Metallurgical Engineering and Materials Science (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),1734,1734
Indian Institute of Technology Indore,"Space Sciences and Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,719,719
Indian Institute of Technology Kharagpur,"Aerospace Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,557,799
Indian Institute of Technology Kharagpur,"Aerospace Engineering (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),1219,1219
Indian Institute of Technology Kharagpur,"Agricultural and Food Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,1053,1129
Indian Institute of Technology Kharagpur,"Agricultural and Food Engineering (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),343P,343P
Indian Institute of Technology Kharagpur,"Applied Geology (4 Years, Bachelor of Science)",ST,Gender-Neutral,1387,1462
Indian Institute of Technology Kharagpur,"Applied Geology (4 Years, Bachelor of Science)",ST,Female-only (including Supernumerary),768P,768P
Indian Institute of Technology Kharagpur,"Architecture (5 Years, Bachelor of Architecture)",ST,Gender-Neutral,1094,1755
Indian Institute of Technology Kharagpur,"Architecture (5 Years, Bachelor of Architecture)",ST,Female-only (including Supernumerary),1656P,1656P
Indian Institute of Technology Kharagpur,"Artificial Intelligence (4 Years, Bachelor of Technology)",ST,Gender-Neutral,123,135
Indian Institute of Technology Kharagpur,"Artificial Intelligence (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),256,256
Indian Institute of Technology Kharagpur,"Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,806,1002
Indian Institute of Technology Kharagpur,"Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),1731,1731
Indian Institute of Technology Kharagpur,"Chemical Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,683,740
Indian Institute of Technology Kharagpur,"Chemical Engineering (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),375,938
Indian Institute of Technology Kharagpur,"Chemistry (4 Years, Bachelor of Science)",ST,Gender-Neutral,1413,1496
Indian Institute of Technology Kharagpur,"Chemistry (4 Years, Bachelor of Science)",ST,Female-only (including Supernumerary),576P,576P
Indian Institute of Technology Kharagpur,"Civil Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,405,541
Indian Institute of Technology Kharagpur,"Civil Engineering (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),960,1158
Indian Institute of Technology Kharagpur,"Computer Science and Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,33,67
