Institute,Academic Program Name,Seat Type,Gender,Opening Rank,Closing Rank
Indian Institute of Technology Kharagpur,"Applied Geology (4 Years, Bachelor of Science)",SC,Female-only (including Supernumerary),4560,4575
Indian Institute of Technology Kharagpur,"Architecture (5 Years, Bachelor of Architecture)",SC,Gender-Neutral,3797,4204
Indian Institute of Technology Kharagpur,"Architecture (5 Years, Bachelor of Architecture)",SC,Female-only (including Supernumerary),4054,4054
Indian Institute of Technology Kharagpur,"Artificial Intelligence (4 Years, Bachelor of Technology)",SC,Gender-Neutral,166,243
Indian Institute of Technology Kharagpur,"Artificial Intelligence (4 Years, Bachelor of Technology)",SC,Female-only (including Supernumerary),780,782
Indian Institute of Technology Kharagpur,"Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology)",SC,Gender-Neutral,2034,2294
Indian Institute of Technology Kharagpur,"Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology)",SC,Female-only (including Supernumerary),1404,2475
Indian Institute of Technology Kharagpur,"Chemical Engineering (4 Years, Bachelor of Technology)",SC,Gender-Neutral,497,1297
Indian Institute of Technology Kharagpur,"Chemical Engineering (4 Years, Bachelor of Technology)",SC,Female-only (including Supernumerary),1292,2540
Indian Institute of Technology Kharagpur,"Chemistry (4 Years, Bachelor of Science)",SC,Gender-Neutral,1740,3023
Indian Institute of Technology Kharagpur,"Chemistry (4 Years, Bachelor of Science)",SC,Female-only (including Supernumerary),3919,3919
Indian Institute of Technology Kharagpur,"Civil Engineering (4 Years, Bachelor of Technology)",SC,Gender-Neutral,1232,1578
Indian Institute of Technology Kharagpur,"Civil Engineering (4 Years, Bachelor of Technology)",SC,Female-only (including Supernumerary),1170,1474
Indian Institute of Technology Kharagpur,"Computer Science and Engineering (4 Years, Bachelor of Technology)",SC,Gender-Neutral,17,137
Indian Institute of Technology Kharagpur,"Computer Science and Engineering (4 Years, Bachelor of Technology)",SC,Female-only (including Supernumerary),151,414
Indian Institute of Technology Kharagpur,"Economics (4 Years, Bachelor of Science)",SC,Gender-Neutral,1632,2027
Indian Institute of Technology Kharagpur,"Economics (4 Years, Bachelor of Science)",SC,Female-only (including Supernumerary),3690,3724
Indian Institute of Technology Kharagpur,"Electrical Engineering (4 Years, Bachelor of Technology)",SC,Gender-Neutral,415,544
Indian Institute of Technology Kharagpur,"Electrical Engineering (4 Years, Bachelor of Technology)",SC,Female-only (including Supernumerary),1244,1307
Indian Institute of Technology Kharagpur,"Electronics and Electrical Communication Engineering (4 Years, Bachelor of Technology)",SC,Gender-Neutral,157,390
Indian Institute of Technology Kharagpur,"Electronics and Electrical Communication Engineering (4 Years, Bachelor of Technology)",SC,Female-only (including Supernumerary),664,1135
Indian Institute of Technology Kharagpur,"Exploration Geophysics (4 Years, Bachelor of Science)",SC,Gender-Neutral,2708,3004
Indian Institute of Technology Kharagpur,"Exploration Geophysics (4 Years, Bachelor of Science)",SC,Female-only (including Supernumerary),4168,4168
Indian Institute of Technology Kharagpur,"Industrial and Systems Engineering (4 Years, Bachelor of Technology)",SC,Gender-Neutral,1171,1653
Indian Institute of Technology Kharagpur,"Industrial and Systems Engineering (4 Years, Bachelor of Technology)",SC,Female-only (including Supernumerary),2378,2552
Indian Institute of Technology Kharagpur,"Instrumentation Engineering (4 Years, Bachelor of Technology)",SC,Gender-Neutral,609,895
Indian Institute of Technology Kharagpur,"Instrumentation Engineering (4 Years, Bachelor of Technology)",SC,Female-only (including Supernumerary),1880,1880
Indian Institute of Technology Kharagpur,"Manufacturing Science and Engineering (4 Years, Bachelor of Technology)",SC,Gender-Neutral,1820,2076
Indian Institute of Technology Kharagpur,"Manufacturing Science and Engineering (4 Years, Bachelor of Technology)",SC,Female-only (including Supernumerary),3147,3665
Indian Institute of Technology Kharagpur,"Mathematics and Computing (4 Years, Bachelor of Science)",SC,Gender-Neutral,229,509
Indian Institute of Technology Kharagpur,"Mathematics and Computing (4 Years, Bachelor of Science)",SC,Female-only (including Supernumerary),1149,1405
Indian Institute of Technology Kharagpur,"Mechanical Engineering (4 Years, Bachelor of Technology)",SC,Gender-Neutral,607,966
Indian Institute of Technology Kharagpur,"Mechanical Engineering (4 Years, Bachelor of Technology)",SC,Female-only (including Supernumerary),1567,2369
Indian Institute of Technology Kharagpur,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",SC,Gender-Neutral,1523,2109
Indian Institute of Technology Kharagpur,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",SC,Female-only (including Supernumerary),2762,2994
Indian Institute of Technology Kharagpur,"Mining Engineering (4 Years, Bachelor of Technology)",SC,Gender-Neutral,1678,2285
Indian Institute of Technology Kharagpur,"Mining Engineering (4 Years, Bachelor of Technology)",SC,Female-only (including Supernumerary),3003,4060
Indian Institute of Technology Kharagpur,"Ocean Engineering and Naval Architecture (4 Years, Bachelor of Technology)",SC,Gender-Neutral,2174,2357
Indian Institute of Technology Kharagpur,"Ocean Engineering and Naval Architecture (4 Years, Bachelor of Technology)",SC,Female-only (including Supernumerary),3618,3976
Indian Institute of Technology Kharagpur,"Physics (4 Years, Bachelor of Science)",SC,Gender-Neutral,2394,2664
Indian Institute of Technology Kharagpur,"Physics (4 Years, Bachelor of Science)",SC,Female-only (including Supernumerary),3740,3740
Indian Institute of Technology Hyderabad,"Artificial Intelligence (4 Years, Bachelor of Technology)",SC,Gender-Neutral,20,251
Indian Institute of Technology Hyderabad,"Artificial Intelligence (4 Years, Bachelor of Technology)",SC,Female-only (including Supernumerary),334,334
Indian Institute of Technology Hyderabad,"Biomedical Engineering (4 Years, Bachelor of Technology)",SC,Gender-Neutral,1969,2563
Indian Institute of Technology Hyderabad,"Biomedical Engineering (4 Years, Bachelor of Technology)",SC,Female-only (including Supernumerary),3820,3820
Indian Institute of Technology Hyderabad,"Biotechnology and Bioinformatics (4 Years, Bachelor of Technology)",SC,Gender-Neutral,2300,2324
Indian Institute of Technology Hyderabad,"Biotechnology and Bioinformatics (4 Years, Bachelor of Technology)",SC,Female-only (including Supernumerary),3479,3479
Indian Institute of Technology Hyderabad,"Chemical Engineering (4 Years, Bachelor of Technology)",SC,Gender-Neutral,1331,1588
Indian Institute of Technology Hyderabad,"Chemical Engineering (4 Years, Bachelor of Technology)",SC,Female-only (including Supernumerary),2215,2215
Indian Institute of Technology Hyderabad,"Civil Engineering (4 Years, Bachelor of Technology)",SC,Gender-Neutral,1229,1789
Indian Institute of Technology Hyderabad,"Civil Engineering (4 Years, Bachelor of Technology)",SC,Female-only (including Supernumerary),1301,2852
Indian Institute of Technology Hyderabad,"Computational Engineering (4 Years, Bachelor of Technology)",SC,Gender-Neutral,529,657
Indian Institute of Technology Hyderabad,"Computational Engineering (4 Years, Bachelor of Technology)",SC,Female-only (including Supernumerary),878,878
Indian Institute of Technology Hyderabad,"Computer Science and Engineering (4 Years, Bachelor of Technology)",SC,Gender-Neutral,93,182
Indian Institute of Technology Hyderabad,"Computer Science and Engineering (4 Years, Bachelor of Technology)",SC,Female-only (including Supernumerary),363,386
Indian Institute of Technology Hyderabad,"Electrical Engineering (4 Years, Bachelor of Technology)",SC,Gender-Neutral,464,614
Indian Institute of Technology Hyderabad,"Electrical Engineering (4 Years, Bachelor of Technology)",SC,Female-only (including Supernumerary),873,1218
Indian Institute of Technology Hyderabad,"Electrical Engineering (IC Design and Technology) (4 Years, Bachelor of Technology)",SC,Gender-Neutral,401,463
Indian Institute of Technology Hyderabad,"Electrical Engineering (IC Design and Technology) (4 Years, Bachelor of Technology)",SC,Female-only (including Supernumerary),528,528
Indian Institute of Technology Hyderabad,"Engineering Physics (4 Years, Bachelor of Technology)",SC,Gender-Neutral,1690,1818
Indian Institute of Technology Hyderabad,"Engineering Physics (4 Years, Bachelor of Technology)",SC,Female-only (including Supernumerary),3009,3009
Indian Institute of Technology Hyderabad,"Engineering Science (4 Years, Bachelor of Technology)",SC,Gender-Neutral,863,1125
Indian Institute of Technology Hyderabad,"Engineering Science (4 Years, Bachelor of Technology)",SC,Female-only (including Supernumerary),1512,1512
Indian Institute of Technology Hyderabad,"Industrial Chemistry (4 Years, Bachelor of Technology)",SC,Gender-Neutral,2199,2370
Indian Institute of Technology Hyderabad,"Industrial Chemistry (4 Years, Bachelor of Technology)",SC,Female-only (including Supernumerary),3889,3889
Indian Institute of Technology Hyderabad,"Materials Science and Metallurgical Engineering (4 Years, Bachelor of Technology)",SC,Gender-Neutral,1841,2196
Indian Institute of Technology Hyderabad,"Materials Science and Metallurgical Engineering (4 Years, Bachelor of Technology)",SC,Female-only (including Supernumerary),3360,3360
Indian Institute of Technology Hyderabad,"Mathematics and Computing (4 Years, Bachelor of Technology)",SC,Gender-Neutral,238,301
Indian Institute of Technology Hyderabad,"Mathematics and Computing (4 Years, Bachelor of Technology)",SC,Female-only (including Supernumerary),519,519
Indian Institute of Technology Hyderabad,"Mechanical Engineering (4 Years, Bachelor of Technology)",SC,Gender-Neutral,836,1116
Indian Institute of Technology Hyderabad,"Mechanical Engineering (4 Years, Bachelor of Technology)",SC,Female-only (including Supernumerary),2205,2270
Indian Institute of Technology Jodhpur,"Artificial Intelligence and Data Science (4 Years, Bachelor of Technology)",SC,Gender-Neutral,797,1081
Indian Institute of Technology Jodhpur,"Artificial Intelligence and Data Science (4 Years, Bachelor of Technology)",SC,Female-only (including Supernumerary),1528,2082
Indian Institute of Technology Jodhpur,"Bio Engineering (4 Years, Bachelor of Technology)",SC,Gender-Neutral,3063,3167
Indian Institute of Technology Jodhpur,"Bio Engineering (4 Years, Bachelor of Technology)",SC,Female-only (including Supernumerary),4617,4686
Indian Institute of Technology Jodhpur,"Chemical Engineering (4 Years, Bachelor of Technology)",SC,Gender-Neutral,2292,2688
Indian Institute of Technology Jodhpur,"Chemical Engineering (4 Years, Bachelor of Technology)",SC,Female-only (including Supernumerary),4029,4029
Indian Institute of Technology Jodhpur,"Chemistry with Specialization (4 Years, Bachelor of Science)",SC,Gender-Neutral,3184,3228
Indian Institute of Technology Jodhpur,"Chemistry with Specialization (4 Years, Bachelor of Science)",SC,Female-only (including Supernumerary),4853,4853
Indian Institute of Technology Jodhpur,"Civil and Infrastructure Engineering (4 Years, Bachelor of Technology)",SC,Gender-Neutral,2495,2619
Indian Institute of Technology Jodhpur,"Civil and Infrastructure Engineering (4 Years, Bachelor of Technology)",SC,Female-only (including Supernumerary),4172,4201
Indian Institute of Technology Jodhpur,"Computer Science and Engineering (4 Years, Bachelor of Technology)",SC,Gender-Neutral,503,789
Indian Institute of Technology Jodhpur,"Computer Science and Engineering (4 Years, Bachelor of Technology)",SC,Female-only (including Supernumerary),1247,1421
Indian Institute of Technology Jodhpur,"Electrical Engineering (4 Years, Bachelor of Technology)",SC,Gender-Neutral,1379,1835
Indian Institute of Technology Jodhpur,"Electrical Engineering (4 Years, Bachelor of Technology)",SC,Female-only (including Supernumerary),2929,3114
Indian Institute of Technology Jodhpur,"Materials Engineering (4 Years, Bachelor of Technology)",SC,Gender-Neutral,2790,2950
Indian Institute of Technology Jodhpur,"Materials Engineering (4 Years, Bachelor of Technology)",SC,Female-only (including Supernumerary),4235,4235
Indian Institute of Technology Jodhpur,"Mechanical Engineering (4 Years, Bachelor of Technology)",SC,Gender-Neutral,2006,2330
Indian Institute of Technology Jodhpur,"Mechanical Engineering (4 Years, Bachelor of Technology)",SC,Female-only (including Supernumerary),3733,4132
Indian Institute of Technology Jodhpur,"Physics with Specialization (4 Years, Bachelor of Science)",SC,Gender-Neutral,2817,3182
Indian Institute of Technology Jodhpur,"Physics with Specialization (4 Years, Bachelor of Science)",SC,Female-only (including Supernumerary),4697,4697
