Institute,Academic Program Name,Seat Type,Gender,Opening Rank,Closing Rank
Indian Institute of Technology Kharagpur,"Aerospace Engineering (4 Years, Bachelor of Technology)",EWS,Female-only (including Supernumerary),2021,2021
Indian Institute of Technology Kharagpur,"Agricultural and Food Engineering (4 Years, Bachelor of Technology)",EWS,Gender-Neutral,1529,1744
Indian Institute of Technology Kharagpur,"Agricultural and Food Engineering (4 Years, Bachelor of Technology)",EWS,Female-only (including Supernumerary),3247,3462
Indian Institute of Technology Kharagpur,"Applied Geology (4 Years, Bachelor of Science)",EWS,Gender-Neutral,1913,2100
Indian Institute of Technology Kharagpur,"Applied Geology (4 Years, Bachelor of Science)",EWS,Female-only (including Supernumerary),4291,4291
Indian Institute of Technology Kharagpur,"Architecture (5 Years, Bachelor of Architecture)",EWS,Gender-Neutral,3043,3311
Indian Institute of Technology Kharagpur,"Architecture (5 Years, Bachelor of Architecture)",EWS,Female-only (including Supernumerary),4976,4976
Indian Institute of Technology Kharagpur,"Artificial Intelligence (4 Years, Bachelor of Technology)",EWS,Gender-Neutral,120,138
Indian Institute of Technology Kharagpur,"Artificial Intelligence (4 Years, Bachelor of Technology)",EWS,Female-only (including Supernumerary),355,355
Indian Institute of Technology Kharagpur,"Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology)",EWS,Gender-Neutral,1371,1415
Indian Institute of Technology Kharagpur,"Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology)",EWS,Female-only (including Supernumerary),3189,3189
Indian Institute of Technology Kharagpur,"Chemical Engineering (4 Years, Bachelor of Technology)",EWS,Gender-Neutral,710,911
Indian Institute of Technology Kharagpur,"Chemical Engineering (4 Years, Bachelor of Technology)",EWS,Female-only (including Supernumerary),1858,2117
Indian Institute of Technology Kharagpur,"Chemistry (4 Years, Bachelor of Science)",EWS,Gender-Neutral,1742,1934
Indian Institute of Technology Kharagpur,"Chemistry (4 Years, Bachelor of Science)",EWS,Female-only (including Supernumerary),4190,4190
Indian Institute of Technology Kharagpur,"Civil Engineering (4 Years, Bachelor of Technology)",EWS,Gender-Neutral,1032,1214
Indian Institute of Technology Kharagpur,"Civil Engineering (4 Years, Bachelor of Technology)",EWS,Female-only (including Supernumerary),2357,2478
Indian Institute of Technology Kharagpur,"Computer Science and Engineering (4 Years, Bachelor of Technology)",EWS,Gender-Neutral,53,67
Indian Institute of Technology Kharagpur,"Computer Science and Engineering (4 Years, Bachelor of Technology)",EWS,Female-only (including Supernumerary),171,306
Indian Institute of Technology Kharagpur,"Economics (4 Years, Bachelor of Science)",EWS,Gender-Neutral,698,986
Indian Institute of Technology Kharagpur,"Economics (4 Years, Bachelor of Science)",EWS,Female-only (including Supernumerary),1971,1971
Indian Institute of Technology Kharagpur,"Electrical Engineering (4 Years, Bachelor of Technology)",EWS,Gender-Neutral,268,349
Indian Institute of Technology Kharagpur,"Electrical Engineering (4 Years, Bachelor of Technology)",EWS,Female-only (including Supernumerary),847,974
Indian Institute of Technology Kharagpur,"Electronics and Electrical Communication Engineering (4 Years, Bachelor of Technology)",EWS,Gender-Neutral,185,228
Indian Institute of Technology Kharagpur,"Electronics and Electrical Communication Engineering (4 Years, Bachelor of Technology)",EWS,Female-only (including Supernumerary),519,802
Indian Institute of Technology Kharagpur,"Exploration Geophysics (4 Years, Bachelor of Science)",EWS,Gender-Neutral,1877,2058
Indian Institute of Technology Kharagpur,"Exploration Geophysics (4 Years, Bachelor of Science)",EWS,Female-only (including Supernumerary),4289,4289
Indian Institute of Technology Kharagpur,"Industrial and Systems Engineering (4 Years, Bachelor of Technology)",EWS,Gender-Neutral,518,772
Indian Institute of Technology Kharagpur,"Industrial and Systems Engineering (4 Years, Bachelor of Technology)",EWS,Female-only (including Supernumerary),1665,1665
Indian Institute of Technology Kharagpur,"Instrumentation Engineering (4 Years, Bachelor of Technology)",EWS,Gender-Neutral,403,510
Indian Institute of Technology Kharagpur,"Instrumentation Engineering (4 Years, Bachelor of Technology)",EWS,Female-only (including Supernumerary),1663,1663
